Date,AZN.L,BAB.L,BBY.L,BP.L,CNA.L,CPG.L,CPI.L,CRDA.L,DRX.L,ELM.L,ENOG.L,ESNT.L,FGP.L,FORT.L,FSJ.L,FSTA.L,FUTR.L,GFRD.L,GSK.L,IAG.L,INCH.L,INF.L,ITV.L,JMAT.L,KIE.L,MTO.L,NG.L,OXB.L,OXIG.L,PETS.L,PSN.L,SBRY.L,SGE.L,SGRO.L,SMIN.L,SMWH.L,SPI.L,SSE.L,SYNT.L,TPK.L,TSCO.L,TTG.L,UU.L,WINE.L,XPS.L,^FTSE,,,,
18/01/2019,5559.686035,552.5430908,280.6605225,521.2255249,136.8710632,1617.308594,1762.499878,4993.6494140625,412.5510864,184.8481598,621.3021851,357.9671326,91.39535522,262.4516907,1879.559448,897.8692627,499.7724915,77.56386566,1504.043335,617.303772,594.7143555,675.5406494,132.2135925,3043.401367,440.9517822,60.51455688,801.9807129,630.9000244,886.4769287,122.3809967,2383.577148,276.8389893,631.5238037,629.2886963,1457.373291,1874.149048,111.4397583,1129.558716,2636.575684,1191.650391,282.9988708,193.2706909,828.1887817,259.9407043,154.5127869,6968.299805,,,,
21/01/2019,5629.556641,557.7387695,279.0630188,520.0300903,133.877182,1623.801758,1784.249878,5025.3515625,401.3849487,184.2486572,627.276123,359.7618713,90.84598541,260.4559021,1859.564209,897.8692627,521.7624512,77.35520172,1497.419189,620.4980469,592.2199097,675.7404785,133.2601776,3015.471191,447.3609924,62.98451614,794.5060425,639,889.4750366,125.1737137,2376.610107,271.9576721,626.9316406,626.2947998,1459.369873,1877.146362,112.5391693,1122.084717,2574.781006,1178.425537,278.2087097,193.0710144,811.840271,269.9384155,157.0049591,6970.600098,,,,
22/01/2019,5545.711426,553.5422974,278.7634888,510.567627,133.8272705,1625.799561,1746.749878,4915.92822265625,397.5963745,185.8473358,624.3886719,362.3544312,91.09570313,258.9590149,1885.558105,922.8101807,511.7669678,76.67711639,1496.215088,618.102356,589.7250977,683.732605,132.1139374,3036.418701,450.7791748,62.83016205,796.3997192,680.0999756,865.4891357,146.8173065,2378.601074,275.6434937,622.5390015,624.0994873,1453.879517,1874.149048,113.4386749,1119.094971,2552.809082,1163.311401,277.8305359,198.6614685,809.2483521,270.438324,150.5253906,6901.399902,,,,
23/01/2019,5558.687988,540.9525757,274.6699219,506.4840088,130.8832703,1622.802734,1724.999878,4896.49609375,401.1854553,185.2478485,620.6051025,359.3630676,90.94589233,262.9507141,1881.559082,920.8147583,513.7661133,75.68601227,1480.557983,629.8814087,581.2435303,679.3369751,132.6621399,3003.501221,454.6247253,61.38932037,801.3828125,696,879.4810791,142.6282043,2359.691162,276.2412415,623.1380615,632.6816406,1428.425537,1949.075195,114.138298,1121.586304,2508.866211,1167.562256,281.8643494,194.0693054,813.4352417,273.9375,153.2667084,6842.899902,,,,
24/01/2019,5469.853027,544.5497437,274.4702148,509.8705139,134.1266785,1611.314819,1748.249878,4898.54150390625,408.5631104,186.3469238,617.2197876,356.3717041,91.69500732,261.4537964,1879.559448,906.8479004,533.757019,75.47734833,1464.901489,631.8778076,585.2350464,676.5397339,133.2601776,2958.613281,448.6427307,59.74272537,800.9841919,692.0999756,878.4815063,142.2292633,2368.648438,277.5362549,624.5357056,638.6690674,1412.953125,1961.063354,118.0361938,1125.57251,2506.119873,1176.063965,280.8559265,194.6682892,819.217041,274.4374084,153.2667084,6819,,,,
25/01/2019,5361.054688,549.145874,274.3703613,504.8901978,134.7753601,1584.842407,1749.749878,4905.70068359375,403.9770203,184.0488129,617.319458,361.7561646,89.99694824,262.4516907,1869.56189,1047.514282,549.7496338,75.00791931,1445.631958,630.8796387,579.2478027,674.541748,131.5657501,3003.501221,447.7881775,58.30187607,793.7088013,703,894.4721069,144.6230011,2380.591309,281.6206055,629.1279297,640.664978,1420.439941,1980.044556,118.4359818,1125.57251,2511.612549,1178.897583,283.5031738,196.6649017,798.28302,279.9361572,149.0301056,6809.200195,,,,
28/01/2019,5315.140137,536.1565552,272.6730042,492.9378967,134.8751221,1581.345825,1686.749878,4858.65966796875,395.8017883,179.0529175,615.3280029,359.1637268,89.99694824,259.9569397,1877.559937,1067.466919,537.7550659,73.54740906,1441.215576,621.8956909,561.7855835,674.9411621,127.9277573,2965.595947,429.4151917,60.3086853,786.2341919,689.5,906.46521,140.8328705,2344.762695,277.9347229,627.1311646,641.6629639,1418.942505,1959.065186,119.0356522,1124.077881,2453.937744,1160.005127,278.5869141,204.1520844,796.0900269,276.9368286,149.5285034,6747.100098,,,,
29/01/2019,5354.067383,541.9519043,277.8648682,501.0057678,137.7692413,1607.818604,1700.999878,4977.28759765625,401.5842896,179.7523651,616.9211426,363.1521912,88.89821625,261.4537964,1915.551025,1067.466919,541.753418,74.32984924,1457.474731,640.2629395,579.7467651,684.7317505,131.5159302,2987.540527,443.942749,60.05140305,804.4724121,686.7999878,909.4633179,136.2448578,2374.619629,282.9156189,627.7301636,648.8479614,1440.403687,1972.052368,119.1355972,1147.994385,2470.416016,1175.119385,278.4608154,203.6529694,812.8372192,279.9361572,152.2698975,6833.899902,,,,
30/01/2019,5453.882324,546.3481445,280.1612854,509.3724365,137.1704712,1639.785034,1721.999878,5018.193359375,401.7837219,181.8506317,615.8258057,367.938324,90.94589233,264.9465027,1915.551025,1077.442993,537.7550659,76.57276154,1486.178467,648.0491943,584.7359619,689.7268677,132.761795,3082.304199,457.6156311,60.82334137,820.8167725,683,911.4620972,134.9482269,2396.514648,286.4023438,629.9265137,661.8208618,1467.355225,1958.066284,118.9357071,1153.973633,2515.732422,1177.953003,281.3600464,204.6512756,817.2232056,274.4374084,152.7682953,6941.600098,,,,
31/01/2019,5521.755859,530.3613892,273.5715942,518.0380249,136.1226044,1628.796265,1741.499878,4930.2451171875,400.5873108,182.1503906,612.0422974,371.9268188,92.39421082,264.4475708,1935.546387,1072.455078,537.7550659,73.96466064,1482.565674,642.8583374,571.763916,675.7404785,128.8746185,3035.421143,440.9517822,60.41161728,822.411499,690,898.4698486,131.4573364,2363.672607,284.1110535,624.9351196,645.654541,1441.901245,1952.072266,124.4327316,1165.931763,2460.803467,1156.226685,281.2341003,205.1504211,828.1887817,273.4376221,147.0363922,6968.899902,,,,
